종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
368590,4,KBSTAR 미국나스닥100,11170,2,150,1.36,11193.0,-15.387,92486,1029,2122,해외 주식,KBSTAR,False,False,False
192090,4,TIGER 차이나CSI300,11010,2,120,1.1,11132.0,2.0618,102775,1123,2059,해외 주식,TIGER,False,False,False
091170,2,KODEX 은행,6335,5,-130,-2.01,6353.0,-14.4389,1612076,10379,1986,국내 업종/테마,KODEX,False,False,False
168580,4,KINDEX 중국본토CSI300,30040,2,865,2.96,29980.0,1.7791,19206,573,1983,해외 주식,KINDEX,False,False,False
132030,5,KODEX 골드선물(H),12305,2,50,0.41,12313.0,-6.4147,62777,772,1944,원자재,KODEX,False,False,True
091160,2,KODEX 반도체,26900,5,-2030,-7.02,26889.0,-19.979,624890,17088,1937,국내 업종/테마,KODEX,False,False,False
228800,2,TIGER 여행레저,3805,5,-165,-4.16,3802.0,-22.2332,774624,3008,1790,국내 업종/테마,TIGER,False,False,False
182480,7,TIGER 미국MSCI리츠(합성 H),12780,2,285,2.28,12827.0,-18.408,69680,887,1693,기타,TIGER,False,False,True
325020,2,KODEX 배당가치,11090,5,-155,-1.38,11082.0,-10.9378,2548,28,1675,국내 업종/테마,KODEX,False,False,False
245710,4,KINDEX 베트남VN30(합성),19825,2,15,0.08,20080.0,-15.1606,34305,678,1645,해외 주식,KINDEX,False,False,False
412770,4,TIGER 글로벌메타버스액티브,6475,2,60,0.94,6525.0,-24.2622,80922,523,1641,해외 주식,TIGER,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),14020,2,210,1.52,14048.0,-19.0979,11262,157,1626,해외 주식,TIGER,False,False,True
302450,1,KBSTAR 코스피,23605,5,-270,-1.13,23610.0,-13.5372,1913,45,1582,국내 시장지수,KBSTAR,False,False,False
372330,4,KODEX 차이나항셍테크,6720,2,130,1.97,6731.0,7.6797,264457,1759,1579,해외 주식,KODEX,False,False,False
329650,7,KODEX TRF3070,10555,2,40,0.38,10542.0,-7.1524,23604,248,1509,기타,KODEX,False,False,False
401170,2,KBSTAR iSelect메타버스,6830,5,-215,-3.05,6832.0,-33.4436,159276,1107,1496,국내 업종/테마,KBSTAR,False,False,False
130730,6,KOSEF 단기자금,101340,2,10,0.01,101333.0,0.1185,3273,331,1480,채권,KOSEF,False,False,False
326240,2,KBSTAR IT플러스,15465,5,-190,-1.21,15462.0,-19.9765,11328,176,1460,국내 업종/테마,KBSTAR,False,False,False
407310,1,HANARO 200 TOP10,7520,5,-10,-0.13,7535.0,-10.9193,62,0,1451,국내 시장지수,HANARO,False,False,False
390950,6,HANARO 단기채권액티브,100755,2,15,0.01,100759.0,0.2039,372766,37567,1451,채권,HANARO,False,False,False
409820,4,KODEX 미국나스닥100레버리지(합성 H),4620,2,100,2.21,4637.0,-39.4913,1232114,5684,1451,해외 주식,KODEX,False,True,True
282000,3,KBSTAR 국고채3년선물인버스,104860,2,10,0.01,104997.0,2.9556,33,3,1431,국내 파생,KBSTAR,True,False,False
161510,2,ARIRANG 고배당주,11115,5,-185,-1.64,11110.0,-8.1898,111446,1246,1424,국내 업종/테마,ARIRANG,False,False,False
143860,2,TIGER 헬스케어,26940,5,-165,-0.61,27105.0,-14.9781,106936,2924,1374,국내 업종/테마,TIGER,False,False,False
219480,4,KODEX 미국S&P500선물(H),18055,2,190,1.06,18058.0,-16.9843,22672,409,1291,해외 주식,KODEX,False,False,True
252710,3,TIGER 200선물인버스2X,3540,2,45,1.29,3541.0,34.423,15983270,55963,1274,국내 파생,TIGER,True,False,False
138540,2,TIGER 현대차그룹+펀더멘털,20725,5,-195,-0.93,20749.0,-3.5412,14855,309,1227,국내 업종/테마,TIGER,False,False,False
283580,4,KODEX 차이나CSI300,13590,2,260,1.95,13608.0,2.1455,152015,2034,1223,해외 주식,KODEX,False,False,False
328370,1,ARIRANG 코스피TR,11925,5,-145,-1.2,11958.0,-13.4457,960,11,1222,국내 시장지수,ARIRANG,False,False,False
295040,1,SOL 200TR,10625,5,-100,-0.93,10602.0,-14.2686,18801,201,1211,국내 시장지수,SOL,False,False,False
232080,1,TIGER 코스닥150,10530,5,-370,-3.39,10595.0,-17.3554,412798,4401,1203,국내 시장지수,TIGER,False,False,False
415340,4,KODEX 차이나과창판STAR50(합성),8280,2,35,0.42,8701.0,-6.0399,9231,76,1159,해외 주식,KODEX,False,False,False
363570,6,KODEX 장기종합채권(AA-이상)액티브KAP,85225,2,820,0.97,84723.0,-7.9654,362,30,1157,채권,KODEX,False,False,False
273140,6,KODEX 단기변동금리부채권액티브,103595,5,-15,-0.01,103597.0,0.3146,406,42,1148,채권,KODEX,False,False,False
309230,4,KINDEX 미국WideMoat가치주,16565,2,250,1.53,16636.0,-9.9614,13328,219,1143,해외 주식,KINDEX,False,False,False
363510,6,SOL KIS단기통안채,100980,3,0,0.0,101009.0,0.1636,0,0,1134,채권,SOL,False,False,False
204480,4,TIGER 차이나CSI300레버리지(합성),26495,2,1090,4.29,27073.0,-0.7618,326426,8578,1129,해외 주식,TIGER,False,True,False
091230,2,TIGER 반도체,27490,5,-410,-1.47,27546.0,-24.6842,205929,5756,1127,국내 업종/테마,TIGER,False,False,False
114260,6,KODEX 국고채3년,55685,2,30,0.05,55670.0,-2.488,15530,865,1125,채권,KODEX,False,False,False
411420,4,KODEX 미국메타버스나스닥액티브,6450,2,85,1.34,6480.0,-23.1281,221147,1423,1116,해외 주식,KODEX,False,False,False
332930,1,HANARO 200TR,37170,5,-270,-0.72,37102.0,-14.4425,127085,4735,1115,국내 시장지수,HANARO,False,False,False
270810,1,KBSTAR 코스닥150,10180,5,-405,-3.83,10284.0,-18.1805,88743,929,1069,국내 시장지수,KBSTAR,False,False,False
385560,6,KBSTAR KIS국고채30년Enhanced,71365,2,380,0.54,71879.0,-18.879,19084,1375,1063,채권,KBSTAR,False,False,False
150460,2,TIGER 중국소비테마,6450,5,-125,-1.9,6456.0,-13.827,52481,347,1060,국내 업종/테마,TIGER,False,False,False
228810,2,TIGER 미디어컨텐츠,6100,5,-255,-4.01,6095.0,-33.1897,262041,1643,1060,국내 업종/테마,TIGER,False,False,False
261220,5,KODEX WTI원유선물(H),17905,5,-65,-0.36,17904.0,-3.0483,253666,4504,1052,원자재,KODEX,False,False,True
