종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2022.03),추정PERlEPS,PBRlBPS (2022.03),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2021.12,PERlEPS(2021.12),PBRlBPS (2021.12),PERlEPS(2022.02),PBRlBPS (2022.02),배당수익률l2021.11
대화제약 *,7230.0,20.0,+0.28%,7120.0,7280.0,1200.0,9.0,40282.0,2022-07-12,대화제약,067080,,,,,,,,,,,,,,,,,"1,340  억원",코스닥 622위,18616650,500원  l  1주,18616650,210495,1.13%,N/A  l  N/A,"12,700  l  5,940",51.43배  l  140원,N/A  l  N/A,"1.58배  l  4,543원",,106.06배,+0.27%,2.08%,,,,,
삼진제약,24650.0,50.0,+0.20%,24600.0,24650.0,173.0,4.0,42028.0,2022-07-12,삼진제약,005500,,,,,,,,,,,,,,,,,"3,412  억원",코스피 416위,13900000,"1,000원  l  1주",13900000,1044891,7.52%,N/A  l  N/A,"29,500  l  23,400","13.53배  l  1,815원",N/A  l  N/A,"1.32배  l  18,529원",,106.06배,+0.29%,3.26%,,,,,
경남제약 *,2785.0,5.0,+0.18%,2880.0,2890.0,134818.0,379.0,440923.0,2022-07-12,경남제약,053950,,,,,,,,,,,,,,,,,855  억원,코스닥 947위,30849565,500원  l  1주,30849565,959728,3.11%,N/A  l  N/A,"8,612  l  2,220",N/A  l  -414원,N/A  l  N/A,"0.88배  l  3,134원",,106.06배,+0.22%,,,,,,
화일약품 *,2735.0,5.0,+0.18%,2740.0,2745.0,64393.0,175.0,1834861.0,2022-07-12,화일약품,061250,,,,,,,,,,,,,,,,,"1,885  억원",코스닥 417위,68052006,500원  l  1주,68052006,1814695,2.67%,N/A  l  N/A,"4,095  l  1,970",45.41배  l  61원,N/A  l  N/A,"1.00배  l  2,781원",,106.06배,+0.27%,,,,,,
조아제약 *,2935.0,5.0,+0.17%,2935.0,2945.0,4867.0,14.0,137330.0,2022-07-12,조아제약,034940,,,,,,,,,,,,,,,,,903  억원,코스닥 909위,30979827,500원  l  1주,30979827,406372,1.31%,N/A  l  N/A,"5,420  l  2,480",N/A  l  -260원,N/A  l  N/A,"1.85배  l  1,574원",,106.06배,+0.22%,,,,,,
에이프로젠제약,615.0,1.0,+0.16%,611.0,613.0,54592.0,33.0,1366458.0,2022-07-12,에이프로젠제약,003060,,,,,,,,,,,,,,,,,"2,427  억원",코스피 513위,398575882,500원  l  1주,398575882,15090448,3.79%,N/A  l  N/A,"1,365  l  521",26.48배  l  23원,N/A  l  N/A,"0.48배  l  1,279원",,106.06배,+0.22%,,,,,,
알리코제약 *,6270.0,10.0,+0.16%,6280.0,6320.0,2211.0,14.0,12451.0,2022-07-12,알리코제약,260660,,,,,,,,,,,,,,,,,963  억원,코스닥 860위,15327021,500원  l  1주,15327021,200361,1.31%,N/A  l  N/A,"9,770  l  5,410",17.02배  l  369원,N/A  l  N/A,"1.14배  l  5,527원",,106.06배,+0.22%,1.12%,,,,,
유유제약1우,8830.0,10.0,+0.11%,8550.0,9000.0,1975.0,17.0,10580.0,2022-07-12,유유제약1우,000225,,,,,,,,,,,,,,,,,197  억원,코스피 1277위,2266930,"1,000원  l  1주",2266930,16744,0.74%,N/A  l  N/A,"16,000  l  7,350",N/A  l  -142원,N/A  l  N/A,"1.37배  l  6,335원",,106.06배,+0.27%,1.26%,,,,,
초록뱀헬스케어,984.0,1.0,+0.10%,983.0,993.0,8771.0,8.0,109350.0,2022-07-12,초록뱀헬스케어,118000,,,,,,,,,,,,,,,,,833  억원,코스피 880위,84704985,500원  l  1주,84704985,906638,1.07%,N/A  l  N/A,"2,155  l  860",13.11배  l  75원,N/A  l  N/A,"0.69배  l  1,429원",,106.06배,+0.29%,,,,,,
유유제약,6580.0,0.0,0.00%,6500.0,6540.0,8340.0,54.0,77272.0,2022-07-12,유유제약,000220,,,,,,,,,,,,,,,,,"1,130  억원",코스피 758위,17232351,"1,000원  l  1주",17232351,429912,2.49%,N/A  l  N/A,"11,600  l  5,500",N/A  l  -142원,N/A  l  N/A,"1.04배  l  6,335원",,106.06배,+0.22%,1.60%,,,,,
유유제약2우B,17050.0,0.0,0.00%,16650.0,18400.0,0.0,0.0,425.0,2022-07-12,유유제약2우B,000227,,,,,,,,,,,,,,,,,54  억원,코스피 1741위,325560,"1,000원  l  1주",325560,459,0.14%,N/A  l  N/A,"33,500  l  15,050",N/A  l  -142원,N/A  l  N/A,"2.64배  l  6,335원",,106.06배,+0.22%,0.66%,,,,,
동아쏘시오홀딩스,103000.0,0.0,0.00%,103000.0,103500.0,37.0,3.0,1834.0,2022-07-12,동아쏘시오홀딩스,000640,2441.0,192.0,193.0,7.89,7.91,,,,,,,,,,,,"6,698  억원",코스피 277위,6348913,"5,000원  l  1주",6348913,795729,12.53%,"4.00매수  l  152,500","140,000  l  92,100","11.98배  l  8,807원","10.00배  l  10,259원","0.69배  l  152,685원",,106.06배,+0.29%,1.42%,,,,,
JW중외제약2우B,70300.0,0.0,0.00%,69500.0,70300.0,0.0,0.0,92.0,2022-07-12,JW중외제약2우B,001067,1659.0,156.0,100.0,9.4,6.03,,,,,510.0,47.35,,,,,,72  억원,코스피 1643위,102927,"2,500원  l  1주",102927,248,0.24%,"4.00매수  l  35,667","73,300  l  46,649",360.51배  l  195원,"35.00배  l  2,006원","8.04배  l  8,745원",,106.06배,+0.22%,0.46%,,,,,
안국약품 *,8340.0,0.0,0.00%,8300.0,8330.0,1234.0,10.0,16850.0,2022-07-12,안국약품,001540,,,,,,,,,,,,,,,,,"1,084  억원",코스닥 765위,13042420,500원  l  1주,13042420,455610,3.49%,N/A  l  N/A,"14,350  l  7,270",26.55배  l  313원,N/A  l  N/A,"0.66배  l  12,582원",,106.06배,+0.22%,2.65%,,,,,
한올바이오파마,17650.0,0.0,0.00%,17700.0,17800.0,9881.0,174.0,285242.0,2022-07-12,한올바이오파마,009420,283.0,32.0,26.0,11.31,9.07,,,,,,,,,,,,"9,220  억원",코스피 222위,52240638,500원  l  1주,52240638,3059638,5.86%,"4.00매수  l  24,333","27,250  l  14,950",215.24배  l  82원,116.00배  l  152원,"5.79배  l  3,049원",,106.06배,+0.29%,,,,,,
제일바이오 *,1875.0,0.0,0.00%,1870.0,1875.0,4957.0,9.0,44936.0,2022-07-12,제일바이오,052670,,,,,,,,,,,,,,,,,546  억원,코스닥 1246위,29129064,500원  l  1주,29129064,598668,2.06%,N/A  l  N/A,"4,530  l  1,635",N/A  l  -49원,N/A  l  N/A,"1.44배  l  1,302원",,106.06배,+0.22%,,,,,,
대웅제약,175000.0,0.0,0.00%,175000.0,175500.0,1697.0,298.0,65770.0,2022-07-12,대웅제약,069620,3093.0,241.0,157.0,7.79,5.08,,,,,,,,,,,,2조  566  억원,코스피 131위,11586575,"2,500원  l  1주",11586575,878797,7.58%,"4.00매수  l  220,385","188,500  l  127,000","33.50배  l  5,298원","28.00배  l  6,295원","3.31배  l  53,627원",,106.06배,+0.22%,0.34%,,,,,
비보존 헬스케어 *,963.0,0.0,0.00%,963.0,969.0,9732.0,9.0,264213.0,2022-07-12,비보존 헬스케어,082800,,,,,,,,,,,,,,,,,"2,198  억원",코스닥 363위,234042627,500원  l  1주,234042627,3887301,1.66%,N/A  l  N/A,"1,685  l  805",N/A  l  -431원,N/A  l  N/A,2.10배  l  448원,,106.06배,+0.22%,,,,,,
휴온스글로벌 *,21750.0,0.0,0.00%,21750.0,21800.0,1110.0,24.0,25629.0,2022-07-12,휴온스글로벌,084110,,,,,,,,,,,,,,,,,"2,739  억원",코스닥 269위,12621492,500원  l  1주,12621492,1158097,9.18%,N/A  l  N/A,"72,305  l  19,450",120.56배  l  180원,N/A  l  N/A,"0.50배  l  43,696원",,106.06배,+0.27%,2.20%,,,,,
동아에스티,59600.0,0.0,0.00%,59200.0,59400.0,51.0,3.0,4806.0,2022-07-12,동아에스티,170900,,,,,,,,,,,,,,,,,"5,102  억원",코스피 321위,8446535,"5,000원  l  1주",8446535,1695187,20.07%,"4.00매수  l  81,667","101,000  l  54,400","36.99배  l  1,633원","15.00배  l  4,019원","0.78배  l  76,946원",,106.06배,+0.27%,1.66%,,,,,
국전약품 *,8710.0,0.0,0.00%,8800.0,8810.0,641619.0,5687.0,16558032.0,2022-07-12,국전약품,307750,,,,,,,,,,,,,,,,,"4,279  억원",코스닥 146위,49069269,100원  l  1주,49069269,506357,1.03%,N/A  l  N/A,"24,900  l  4,700",96.89배  l  90원,N/A  l  N/A,"5.09배  l  1,713원",,106.06배,+0.22%,0.12%,,,,,
프레스티지바이오파마,11850.0,0.0,0.00%,11500.0,11950.0,4472.0,52.0,99689.0,2022-07-12,프레스티지바이오파마,950210,,,,,,,,,,,,,,,,,"7,031  억원",코스피 267위,60096155,,60096155,37892129,63.05%,N/A  l  N/A,"40,850  l  10,250","N/A  l  -1,798원",N/A  l  N/A,"1.39배  l  8,392원",,106.06배,+0.22%,,,,,,
일성신약,77200.0,100.0,-0.13%,76500.0,77200.0,2.0,0.0,135.0,2022-07-12,일성신약,003120,,,,,,,,,,,,,,,,,"2,038  억원",코스피 577위,2660000,"5,000원  l  1주",2660000,48704,1.83%,N/A  l  N/A,"90,100  l  68,900","42.37배  l  1,808원",N/A  l  N/A,"0.33배  l  229,136원",,106.06배,+0.22%,0.98%,,,,,
