종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PBR,PPS,BPS,PER(배),EPS(원),PBR(배),BPS(원),배당수익률(%)
보로노이 *,45350.0,150.0,-0.33%,44250.0,44300.0,80371.0,3664.0,1597957.0,2022-07-12,310210,,,,,,12638949,12638949,41476,0.33%,106.06,+0.22%,코스닥,5511,108,52600,29100,23500,1.8075601374570447,-7250.0,0.8621673003802282,,,,,,,,,41.56,1049.0,
유한양행,57200.0,200.0,-0.35%,57400.0,57500.0,9951.0,572.0,126051.0,2022-07-12,000100,4718.0,186.0,291.0,3.95,6.16,73231476,73231476,13709078,18.72%,106.06,+0.22%,코스피,41815,73,67200,53500,13700,1.2560747663551401,-10000.0,0.8511904761904762,81269.0,4.0,매수,2.06배 ," 27,760원"," 27,760원",43.39,1316.0,2.06,27760.0,0.67
아이큐어 *,13550.0,50.0,-0.37%,12900.0,13400.0,18514.0,249.0,229920.0,2022-07-12,175250,,,,,,19001657,19001657,139937,0.74%,106.06,+0.27%,코스닥,2622,288,24859,10200,14659,2.437156862745098,-11309.0,0.5450742185928638,,,,2.88배 ," 4,784원"," 4,784원",,-2208.0,2.88,4784.0,
신신제약 *,5190.0,20.0,-0.38%,5120.0,5240.0,1189.0,6.0,22991.0,2022-07-12,002800,,,,,,15170500,15170500,110748,0.73%,106.06,+0.22%,코스닥,778,1021,8800,4165,4635,2.112845138055222,-3610.0,0.5897727272727272,,,,1.41배 ," 3,651원"," 3,651원",,-13.0,1.41,3651.0,
차백신연구소 *,7960.0,30.0,-0.38%,7710.0,7790.0,1016657.0,7937.0,17895398.0,2022-07-12,261780,,,,,,26429162,26429162,43984,0.17%,106.06,+0.27%,코스닥,2027,395,14900,5830,9070,2.555746140651801,-6940.0,0.5342281879194631,,,,,,,,-792.0,5.32,1443.0,
씨케이에이치 *,254.0,1.0,-0.39%,255.0,256.0,63334.0,16.0,1491884.0,2022-07-12,900120,,,,,,123012232,123012232,24691395,20.07%,106.06,+0.22%,코스닥,311,1458,445,210,235,2.119047619047619,-191.0,0.5707865168539326,,,,0.08배 ," 3,296원"," 3,296원",4.87,52.0,0.08,3296.0,
한국유니온제약 *,7300.0,30.0,-0.41%,7280.0,7360.0,85.0,1.0,28042.0,2022-07-12,080720,,,,,,7903728,7903728,85256,1.08%,106.06,+0.27%,코스닥,569,1227,15150,5900,9250,2.5677966101694913,-7850.0,0.48184818481848185,,,,1.10배 ," 6,560원"," 6,560원",,-1263.0,1.1,6560.0,
코스맥스비티아이,9500.0,40.0,-0.42%,9410.0,9540.0,312.0,2.0,4478.0,2022-07-12,044820,,,,,,9603921,9603921,473454,4.93%,106.06,+0.27%,코스피,885,857,19900,9100,10800,2.1868131868131866,-10400.0,0.47738693467336685,,,,0.28배 ," 32,816원"," 32,816원",6.75,1365.0,0.28,32816.0,2.82
비엘팜텍 *,940.0,4.0,-0.42%,932.0,940.0,2927.0,3.0,158105.0,2022-07-12,065170,,,,,,88970559,88970559,5021781,5.64%,106.06,+0.22%,코스닥,849,950,2155,848,1307,2.5412735849056602,-1215.0,0.4361948955916473,,,,1.43배 , 667원, 667원,,-232.0,1.43,667.0,
안트로젠 *,21700.0,100.0,-0.46%,21100.0,21900.0,2564.0,55.0,30405.0,2022-07-12,065660,,,,,,9730373,9730373,708408,7.28%,106.06,+0.22%,코스닥,2077,384,101500,19300,82200,5.259067357512953,-79800.0,0.21379310344827587,,,,1.54배 ," 13,896원"," 13,896원",,-37.0,1.54,13896.0,
